127.0.0.1, 2015-10-04 13:18:38, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/default/index, HTTP/1.1, 200, 1.589000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-04 13:18:40, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-04 13:18:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-04 13:18:41, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-04 13:18:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-04 13:18:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-04 13:18:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/default/index, HTTP/1.1, 200, 1.029000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 200, 0.064000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.102000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/share.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.058000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.141000
127.0.0.1, 2015-10-04 13:19:23, GET, /start/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-10-04 13:19:24, GET, /start/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.027000
127.0.0.1, 2015-10-04 13:19:24, GET, /start/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-10-04 13:19:25, GET, /start/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-10-04 13:19:25, GET, /start/static/images/gplus-32.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-04 21:58:24, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/default/index, HTTP/1.1, 200, 1.782000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.055000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.056000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-10-04 21:58:26, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-10-04 21:58:27, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.085000
127.0.0.1, 2015-10-04 21:58:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.234000
127.0.0.1, 2015-10-04 21:58:28, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.065000
127.0.0.1, 2015-10-04 21:58:28, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.093000
127.0.0.1, 2015-10-04 21:58:28, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-10-04 21:58:28, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-10-04 21:58:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.082000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/default/index, HTTP/1.1, 200, 0.738000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.043000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 200, 0.053000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.072000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-10-04 21:58:49, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/js/share.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.101000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/images/favicon.ico, HTTP/1.1, 304, 0.011000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.102000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.205000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.107000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/images/gplus-32.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/images/twitter.png, HTTP/1.1, 200, 0.032000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/images/facebook.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-10-04 21:58:50, GET, /start/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.071000
127.0.0.1, 2015-11-18 19:53:44, GET, /, HTTP/1.1, 303, 0.033000
127.0.0.1, 2015-11-18 19:53:45, GET, /welcome/default/index, HTTP/1.1, 200, 1.323000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-11-18 19:53:46, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
